authorName,authorID,firstname,surname
Andrew Foerster,10956,Andrew,Foerster
Juan Rubio-Ramírez,10957,Juan,Rubio-Ramírez
Daniel F. Waggoner,10958,Daniel,Waggoner
Peter Benczur,10960,Peter,Benczur
Tom Nicholas,10962,Tom,Nicholas
William A. Pizer,10963,William,Pizer
Andrew J. Yates,10964,Andrew,Yates
Lars Peter Hansen,10965,Lars,Hansen
David Autor,10966,David,Autor
David Dorn,10967,David,Dorn
Gordon H. Hanson,10968,Gordon,Hanson
Brendan Price,10969,Brendan,Price
Alan Krueger,10970,Alan,Krueger
Alexandre Mas,10971,Alexandre,Mas
Xiaotong Niu,10972,Xiaotong,Niu
Christopher Cotton,10973,Christopher,Cotton
Brent R. Hickman,10974,Brent,Hickman
Joseph P. Price,10975,Joseph,Price
Daniel S. Hamermesh,10976,Daniel,Hamermesh
Daiji Kawaguchi,10977,Daiji,Kawaguchi
Jungmin Lee,10978,Jungmin,Lee
Arik Levinson,10979,Arik,Levinson
